Analysis	ctrl			NEK2			hCK1			XCK1			PLK1			Aurora A			
	max probability	total occurence		max probability	total occurence		max probability	total occurence		max probability	total occurence		max probability	total occurence		max probability	total occurence		
418	100.0	6		100.0	11		100.0	8		100.0	8		100.0	10		100.0	12	
421							100.0	8		100.0	2							
425	100.0	3		100.0	13		100.0	7		100.0	12		100.0	10		100.0	6	
427				50.0	1								100.0	1				
435				100.0	2		100.0	2		100.0	3		100.0	2		100.0	3	
448				100.0	2													
456																		
463																		
478																		
480				100.0	3								100.0	1		100.0	6	
491																		
496				100.0	4													
498																		
502																		
503																		
509													100.0	2				
514				95.0	3								99.6	2				
515				50.0	2								48.0	1				
520																		
527																		
528																		
531																		
535																		
543																		
550																		
552				99.8	2								94.4	1				
553																		
555																		
561																		
562																		
568													33.2	1		86.2	2	
572							93.9	3		93.2	2		99.2	4		92.9	4	
573				97.5	2		44.2	1		99.6	4		99.1	5		98.0	5	
574				43.8	1					11.1	2		79.0	3		49.8	3	
575				43.8	1		90.4	2		11.1	1		10.8	2		31.9	1	
576										64.7	1		72.6	2		38.9	2	
580				11.2	1		98.9	1		74.0	2					38.9	1	
582				95.2	2		30.1	1		99.9	5		90.8	1		96.7	2	
583				99.9	4		89.1	2		92.1	7		91.5	1		90.7	4	
586				99.1	5		90.0	2		75.8	1		99.5	1		91.3	4	
589				99.9	6		92.7	1		92.7	3		90.3	1		93.4	2	
591				18.9	1													
592				99.3	1											91.3	1	
594																		
595																		
597																		
604																		
614																		
616																		
618																		
620							94.9	1										
622							95.2	1										
625				100.0	2		99.5	2		100.0	7		100.0	5		100.0	4	
626				100.0	2		92.3	1		100.0	7		100.0	5		100.0	4	
630							93.3	2					100.0	2		100.0	2	
638	92.1	6		99.9	19		100.0	5		100.0	11		100.0	7		100.0	9	
640	93.5	7		99.4	15		93.1	3		98.4	9		50.0	4		94.6	8	
641	33.3	1		99.6	5		100.0	25		100.0	30		99.6	25		99.8	18	
648	99.9	2					99.9	6		100.0	6		99.9	3		87.3	4	
651	99.9	4		100.0	21		100.0	11		100.0	16		99.9	8		100.0	24	
652	99.6	5		100.0	9		99.6	8		99.7	8		99.7	5		100.0	11	
667																		
677																		
709							99.9	2		100.0	5					100.0	5	
715	92.1	1		92.2	2		91.7	3								50.0	2	
717				50.0	1		47.9	1		94.7	1		85.8	1		50.0	1	
720	100.0	2		100.0	4		100.0	3		100.0	1		99.9	1		100.0	5	
729																		
